#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Provided by GlobeFunder.com
306,Bumble Inc.,BMBL,$23.02,"$2,985.16",Online Dating,
307,Badger Meter Inc,BMI,$110.13,"$3,223.41",Water technology,
308,Bank of Montreal,BMO,$88.04,"$59,652.17",Financial Services,
309,Biomarin Pharmaceutical,BMRN,$108.63,"$20,188.77",Biotechnology,
310,Bristol-Myers Squibb,BMY,$73.49,"$156,251.49",Pharmaceuticals,
311,Broadstone Net Lease Inc,BNL,$16.83,"$2,913.52",Real estate,
312,Bank of Nova Scotia,BNS,$47.64,"$56,753.82",Financial Services,
313,BioNTech SE,BNTX,$175.25,"$42,530.60",Biotechnology,
314,Bank of Hawaii Corporation,BOH,$74.77,"$2,991.76",Banking,
315,BOK Financial,BOKF,$99.44,"$6,687.77",Financial Services,
316,Boot Barn Holdings Inc,BOOT,$59.78,"$1,782.13",Clothing,
317,Box,BOX,$31.24,"$4,464.66",Cloud Services,
318,BP plc,BP,$33.68,"$84,427.55",Oil,
319,Popular,BPOP,$63.34,"$4,604.46",Financial Services,
320,Broadridge Financial Solutions,BR,$133.35,"$15,689.33",Financial Technology,
321,BellRing Brands,BRBR,$24.60,"$3,330.47",Nutrition,
322,Brady Corporation,BRC,$45.75,"$2,275.58",Manufacturer,
323,Bridge Investment Group Holdings Inc,BRDG,$12.26,"$1,407.43",Real estate,
324,BRF,BRFS,$1.30,"$7,436.59",Food Production,
325,Berkshire Hathaway,BRK.B,$300.00,"$661,713.05",Warren Buffett's Firm,
326,Brookline Bancorp,BRKL,$13.22,"$1,015.88",Financial Services,
327,Bruker Corporation,BRKR,$64.41,"$9,473.60",Medical Devices,
328,Brown & Brown,BRO,$55.50,"$15,718.84",Insurance,
329,Dutch Bros,BROS,$30.82,"$5,045.48",Coffee Chain,
330,Brp Group Inc,BRP,$26.50,"$3,074.77",Insurance,
331,Brixmor Property Group,BRX,$22.14,"$6,640.08",Real Estate,
332,Braze,BRZE,$27.47,"$2,617.48",Software,
333,Banco Santander Chile,BSAC,$15.15,"$7,193.03",Financial Services,
334,Banco Santander (Brasil),BSBR,$4.90,"$98,297.51",Banking,
335,Grupo Financiero Santander Mexico,BSMX,$6.10,"$8,031.80",Banking,
336,Boston Scientific,BSX,$45.81,"$65,614.17",Medical Devices,
337,Bentley Systems,BSY,$37.33,"$10,765.70",Software,
338,B2Gold Corporation,BTG,$3.40,"$5,014.62",Metals Mining,
339,Peabody Energy Corporation,BTU,$28.49,"$4,099.71",Energy company,
340,BTWN,BTWN,$9.87,$295.78,General purpose SPAC,
341,Anheuser Busch Inbev NV,BUD,$59.63,"$97,739.18",Brewing company,
342,Burlington Stores,BURL,$185.80,"$12,112.54",Retail,
343,First Busey,BUSE,$24.28,"$1,341.04",US3193832041,
344,Compañía de Minas Buenaventura,BVN,$7.30,"$1,947.10",Mining,
345,BorgWarner,BWA,$40.54,"$9,492.60",Auto Parts,
346,BWX Technologies Inc,BWXT,$58.96,"$5,378.47",Energy,
347,Boston Properties,BXP,$67.28,"$10,546.46",Real Estate,
348,Boyd Gaming Corporation,BYD,$57.12,"$5,961.90",Entertainment,
349,Beyond Meat,BYND,$14.13,$900.68,Meat Substitutes,
350,Baozun Inc,BZUN,$5.15,"$2,319.26",e-commerce,
351,Citigroup,C,$44.35,"$85,899.38",Banking,
352,Cable One,CABO,$699.45,"$4,063.39",Communications,
353,Credit Acceptance,CACC,$442.72,"$5,722.03",Finance,
354,Caci international,CACI,$301.98,"$7,095.60",Technology,
